https://api-na-adrv2.padsv.gungho.jp/api.php?action=clear_dungeon;pid;sid;hash;tmd;nxc;;dung;floor;v;c;r;m;key;e_key;e_chksum;ss;;;s;e1;e2;e3;e4;e5;e6;e7;e8;e9;e10;e11;e12;e13;e14;e15;e16;e17;e18;e19;sm;cm
1;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;dfcf752f;f257fcfd;10;1;2;215;1300;0;AE7AC3CC;33;25;207f6d2b;10:32:11;;349706;3c67b23;346bf00;c3c6ee21;d47663b8;ee3667d8;b5a2de28;1da57ab;e54ec759;447a8b7e;d3472f35;c95d7ce;d0230457;f9c414a6;299ec29b;47f0ec8a;bf94afa2;29330d97;a2a11fe6;d28ff71a;da44a21d;0
2;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8a2a585e;e585a2a8;10;1;2;215;1300;0;E7F49633;D2;6E;207f6d30;10:32:16;0:00:05;349706;4ca6480c;85bb6523;5ded1157;dc81736d;3e19136e;7bdac728;c4bc04a0;bed9a4a0;365028df;951f0558;8af4990c;9df50556;64e40d16;d92bfdf7;f2ba749e;89b46789;b967beed;da82efa1;1f0dc57;da44a21a;0
3;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;52e3367a;a7633e25;10;1;2;215;1300;0;F90BC788;82;EF;207f6d35;10:32:21;0:00:05;349706;95851579;8300b43;f8133485;e48b7c17;8dfbb8fc;4212b028;879eb198;986381e7;2827c63f;56f778fc;9545a4a;6bc60221;d0050586;88b93954;9d85fcb2;53d41f6f;499c7043;11637f6b;3151c194;da44a217;0
4;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f2e5474e;e4745e2f;10;1;2;215;1300;0;A7949500;60;7E;207f6d3a;10:32:26;0:00:05;349706;de65e2aa;8aa4b162;9239583b;ec964db8;dddd6472;84a9928;4a805e91;71ed5f2d;19fd63a0;18ce5e67;87b31b88;39970314;3b25fdf6;384774b0;485084c7;1df3d756;d9d02199;493ccf32;60b1a6d1;da44a22c;0
5;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;d15f2193;3912f51d;10;1;2;215;1300;0;D6149ACC;E2;7A;207f6d3f;10:32:31;0:00:05;349706;2744af97;d195782;2c607b68;f4a05d6d;2dbf1000;ce818228;d630b86;4b783c74;bd30101;daa6b58b;613dcc6;768000b;a645f666;e7d4b00d;f31b0cdb;e8138f3c;6a04d2ef;811e5efd;90128c0e;da44a229;0
6;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;30d1e5b5;5b5e1d03;10;1;2;215;1300;0;A196A9FF;54;C6;207f6d45;10:32:37;0:00:06;349706;b1ea3fa7;100cebab;b2287242;97e07e30;8d9caeba;ef91337d;5da5417c;5084792f;613b8aa8;c3450acd;9db99176;cb30cdea;c06bba21;20e5c416;8cdce35a;a76cd250;e3dc0e23;f75fa305;2f536bf1;da44a226;0
7;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;9392822c;c2282939;10;1;2;215;1300;0;C5C392AA;4C;C0;207f6d4a;10:32:42;0:00:05;349706;faca0c90;928091ca;4c4e95f0;9feb4fda;dd7e5a48;b5c91c7d;2087ee75;2a0e5675;53112808;851d6071;1c1852b4;9901ca95;2b8bb291;d072ff72;37a76b6e;718b8a37;7410bf79;2f3832cc;5eb4512e;da44a223;0
8;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;7dba03c2;2c30abd7;10;1;2;215;1300;0;58E39033;E7;77;207f6d4f;10:32:47;0:00:05;349706;43a9d9fd;14f537ea;e674b926;a7f6588f;2d6007df;7c01057d;e36a9b6a;39833bc;44e8c569;46f54794;9a7813f2;66d2cb81;96acab01;80003acf;e272f383;3bab421d;44470cf;67198297;8e15366b;da44a238;0
9;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;5941b65c;c56b1495;10;1;2;215;1300;0;2396A677;41;B3;207f6d54;10:32:52;0:00:05;349706;8c89a72e;976ade15;809bdc5b;b0002831;7d43b36d;4239ee7d;a64c4863;dd231102;36be62ca;8cdbd38;18d8d530;34a3c896;1cca371;2f8e762c;8d3d7b97;5cafa04;94792225;9ffb1251;bd761ba7;da44a235;0
10;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;7ae7db17;71bd7ea7;10;1;2;215;1300;0;22349BDD;48;83;207f6d59;10:32:57;0:00:05;349706;d568741b;19de8435;1ac1ff89;b80b39da;cd2558e3;871d77d;692ef558;b6adee49;2894002a;caa590a3;9737966e;274c997;6cec9bee;df1cb188;380803ab;cfeab1ea;24add37b;d7d4e218;ecd700e4;da44a232;0
