;;;;e1 (avg_c);e2 (moves)';e3 (rare?);e4 (d max?);e5 (t?);e6;e7;e8;e9 (skill dmg);e10 (d tot?);e11 (stg by skill);e12;e13 (mons killed?);e14;e15;e16;e17;e18;e19;sm;cm
;;;;0000D3DC;A704D665;0DAAC21F;3EADCD1D;AF5A20DA;AFE569AC;961B261E;525F6513;7E70E679;BB6C44FD;D0109FFF;5A195BAF;7D60AA1D;B904DAAC;5EB4961D;0202642B;0546CC78;6083473A;C1F2B2DF;;
;;;;;;;;;;;;;;;;;;;;;;;;
;1;1;407502;10;1;50;84134;73;2;0;0;0;84134;0;393;1;0;0;0;0;9219014;0;da457400;0
dung 1_1;1;1;407502;10;1;50;84134;74;1;0;0;0;84134;0;71;1;0;0;0;0;9219014;0;da4575ce;0
1 blue;1;1;407502;10;1;50;5332;76;2;1;0;0;5332;0;788;1;0;0;0;0;9219014;0;da457699;0
1red cotton;1;1;407502;10;1;50;4025;73;2;0;0;0;4025;0;54;1;0;0;0;0;9219014;0;da4575bf;0
1red+1dark ideal;1;2;379304;20;1;55;5844;87;2;0;0;0;5844;0;920;1;0;0;0;0;9219014;0;da457614;0
1red+1dark ideal;1;2;379304;20;1;55;5788;97;8;0;0;0;5788;0;1441;1;0;0;0;0;9219014;0;da457011;0
1red blue bowl;1;1;469906;10;1;40;4025;65;3;1;0;0;4025;0;1940;1;0;0;0;0;9219014;0;da45720f;0
1red 7x6 diao;1;1;379008;10;1;55;4025;96;6;1;0;0;4025;0;3309;1;0;0;0;0;9219014;0;da45794d;0
1red rushana;2;2;405008;10;2;50;4025;154;6;0;0;0;4025;0;4087;1;0;0;0;0;9219014;0;da457aaa;0
1red rushana;3;3;402502;10;3;50;4025;204;6;1;0;0;4025;0;4576;1;0;0;0;0;9219014;0;da4564eb;0
1red rushana;4;4;400008;10;4;50;4025;289;4;1;0;0;4025;0;5161;1;0;0;0;0;9219014;0;da4560ca;0
1red rushana;5;5;397508;10;5;50;4025;305;15;2;0;0;4025;0;45;1;0;0;0;0;9219014;0;da4574d7;0
1red rushana;2;4;405304;20;2;50;5033;174;4;0;0;0;5033;0;228;1;0;0;0;0;9219014;0;da457591;0
1red+1yellow 4;1;2;407808;20;1;50;105172;104;5;0;0;0;105172;0;973;1;0;0;0;0;9219014;0;da45767c;0
"1red;1green, 2 stages";2;2;407502;10;2;50;4025;165;4;0;0;0;5310;0;814;2;0;0;0;0;9219014;0;da456d4a;0
;;;;;;;;;;;;;;;;;;;;;;;;
Team1 3 moves 12 combos real dung;3;12;92604;40;3;50;223833;644;47;1;0;0;382717;0;445;10;0;0;0;0;9219014;0;da43ca5a;0
1red 1 green 1 red rushana 3 stages;6;6;400008;10;6;50;4025;389;7;3;0;0;9335;0;50;3;0;0;0;0;9219014;0;da455fba;0
Rushana 3 stages;7;9;250504;13;7;53;6854;713;20;2;0;0;9424;0;1026;3;0;0;0;0;9219014;0;da454d0d;0
Rushana 1 stage 3 seeds;8;9;390004;11;8;50;4025;714;15;1;0;0;6595;0;53;3;0;0;0;0;9219014;0;da456143;0
Rushana 1 stage 2 seeds;9;9;387506;10;9;50;4025;731;18;2;0;0;5310;0;1726;2;0;0;0;0;9219014;0;da456abb;0
Rushana real dung;10;21;390402;21;10;50;6041;1496;81;5;0;0;25693;0;51;10;0;0;0;0;9219014;0;da4503a6;0
Rushana real dung;13;21;382608;16;13;50;7725;1453;51;0;0;0;26955;0;765;10;0;0;0;0;9219014;0;da4505da;0
Rushana real dung;15;25;377708;17;15;50;6600;1456;53;2;0;0;30765;0;51;10;0;0;0;0;9219014;0;da45118d;0
Rushana real dung;16;19;375000;12;16;50;6041;1480;59;3;1;0;21689;0;968;10;0;0;0;0;9219014;0;da4530c7;0
main cath+2018;1;1;150206;10;1;58;5033;98;2;0;0;0;5033;0;0;1;0;0;0;0;9219014;0;da4575aa;0
main cath 100000dmg;0;0;150206;0;0;58;0;73;0;0;0;100000;0;1;731;1;0;1;0;0;9219014;0;da44f1f3;0
;2;1;405008;5;2;50;5033;148;2;0;0;0;5033;0;699;1;2097152;0;0;0;9219014;0;da6577e3;
;3;2;402502;7;3;50;5033;247;12;2;0;0;5033;0;41;1;2097152;0;0;0;9219014;0;da65751d;
