;ext1 d1f2;ext d1f1;tr3 d1f1;tr2 d1f1;tr1 d1f1;d1f3;rate d1130;d1f1;d1f3 2;;;;;;
00;32949300;33949300;33c49300;;;;;;;;;;;;
01;4be8e401;4ae8e401;4ab8e401;;;;;;;;;;;;
02;657d3502;647d3502;642d3502;;;;;;;;;;;;
03;7ef18603;7ff18603;7fa18603;;;;;;;;;;;;
04;9845d704;9945d704;9915d704;;;;;;;;;;;;
05;b1da2805;b0da2805;b08a2805;;;;;;;;;;;;
06;cb2e7906;ca2e7906;ca7e7906;;;;;;;;;;;;
07;e4a2ca07;e5a2ca07;e5f2ca07;e402ca07;;;;;;;;;;;
08;fe371b08;ff371b08;ff671b08;fe971b08;;;;;;;;;;;
09;178b6c09;168b6c09;16db6c09;;;;;;;;;;;;
0a;311fbd0a;301fbd0a;304fbd0a;;;;;;;;;;;;
0b;4a940f0b;4b940f0b;4bc40f0b;;;;;;;;;;;;
0c;63e8600c;62e8600c;62b8600c;;;;;;;;;;;;
0d;7d7cb10d;7c7cb10d;7c2cb10d;;;;;;;;;;;;
0e;96f1020e;97f1020e;97a1020e;;;;;;;;;;;;
0f;b045530f;b145530f;b115530f;b0e5530f;;;;;;;;;;;
10;c9d9a410;c8d9a410;c889a410;;;;;;;;;;;;
11;e32df511;e22df511;e27df511;;;;;;;;;;;;
12;fca24612;fda24612;fdf24612;;;;;;;;;;;;
13;16369713;17369713;17669713;;;;;;;;;;;;
14;2f8ae814;2e8ae814;2edae814;;;;;;;;;;;;
15;491f3915;481f3915;484f3915;;;;;;;;;;;;
16;62938a16;63938a16;63c38a16;;;;;;;;;;;;
17;7be7db17;7ae7db17;7ab7db17;;;;;;;;;;;;
18;957c2d18;947c2d18;942c2d18;;;;;;;;;;;;
19;aef07e19;aff07e19;afa07e19;;;;;;;;;;;;
1a;c844cf1a;c944cf1a;c914cf1a;;;;;;;;;;;;
1b;e1d9201b;e0d9201b;e089201b;;;;;;;;;;;;
1c;fb2d711c;fa2d711c;fa7d711c;;;;;;;;;;;;
1d;14a1c21d;15a1c21d;15f1c21d;;;;;;;;;;;;
1e;2e36131e;2f36131e;2f66131e;;;;;;;;;;;;
1f;478a641f;468a641f;46da641f;;;;;;;;;;;;
20;611eb520;601eb520;604eb520;;;;625eb520;;;;;;;;
21;7a930621;7b930621;7bc30621;;;;;;;;;;;;
22;93e75722;92e75722;92b75722;;;;;;;;;;;;
23;ad7ba823;ac7ba823;ac2ba823;;;;;;;;;;;;
24;c6cff924;c7cff924;c79ff924;;;;;;;;;;;;
25;e0444a25;e1444a25;e1144a25;;;;;;;;;;;;
26;f9d89c26;f8d89c26;f8889c26;;;;;;;;;;;;
27;132ced27;122ced27;127ced27;;130ced27;;;;;;;;;;
28;2ca13e28;2da13e28;2df13e28;;;;;;;;;;;;
29;46358f29;47358f29;47658f29;;;;;;;;;;;;
2a;5f89e02a;5e89e02a;5ed9e02a;5f29e02a;;;;;;;;;;;
2b;791e312b;781e312b;784e312b;;;;;;;;;;;;
2c;9292822c;9392822c;93c2822c;;;;;;;;;;;;
2d;abe6d32d;aae6d32d;aab6d32d;;abc6d32d;;;;;;;;;;
2e;c57b242e;c47b242e;c42b242e;;;;;c58b242e;;;;;;;
2f;decf752f;dfcf752f;df9f752f;;;;;;;;;;;;
30;f843c630;f943c630;f913c630;;;;;;;;;;;;
31;11d81731;10d81731;10881731;;;;;;;;;;;;
32;2b2c6832;2a2c6832;2a7c6832;;;;;;;;;;;;
33;44a0ba33;45a0ba33;45f0ba33;;;;;;;;;;;;
34;5e350b34;5f350b34;5f650b34;;;;;;;;;;;;
35;77895c35;76895c35;76d95c35;;;;;;;;;;;;
36;911dad36;901dad36;904dad36;;;908dad36;;;;;;;;;
37;aa91fe37;ab91fe37;abc1fe37;aa31fe37;;;;;;;;;;;
38;c3e64f38;c2e64f38;c2b64f38;;;;;;;;;;;;
39;dd7aa039;dc7aa039;dc2aa039;;;;;;;;;;;;
3a;f6cef13a;f7cef13a;f79ef13a;;;;;;;;;;;;
3b;1043423b;1143423b;1113423b;;;;;;;;;;;;
3c;29d7933c;28d7933c;2887933c;;;;;;;;;;;;
3d;432be43d;422be43d;427be43d;;;;;;;;;;;;
3e;5ca0353e;5da0353e;5df0353e;;;;;;;;;;;;
3f;7634863f;7734863f;7764863f;;;;;;;;;;;;
40;8f88d740;8e88d740;8ed8d740;;;;;;;;;;;;
41;a91d2941;a81d2941;a84d2941;;;;;;;;;;;;
42;c2917a42;c3917a42;c3c17a42;;;;;;;;;;;;
43;dbe5cb43;dae5cb43;dab5cb43;;;;;;;;;;;;
44;f57a1c44;f47a1c44;f42a1c44;;;;;;;;;;;;
45;+ece6d45;+fce6d45;+f9e6d45;;;;;;;;;;;;
46;2842be46;2942be46;2912be46;;;;;;;;;;;;
47;41d70f47;40d70f47;40870f47;;;;;;;;;;;;
48;5b2b6048;5a2b6048;5a7b6048;;;;;;;;;;;;
49;74bfb149;75bfb149;75efb149;;;;;;;;;;;;
4a;8e34024a;8f34024a;8f64024a;;8e14024a;;;;;;;;;;
4b;a788534b;a688534b;a6d8534b;;;;;;;;;;;;
4c;c11ca44c;c01ca44c;c04ca44c;;;;;;;;;;;;
4d;da90f54d;db90f54d;dbc0f54d;;;;;;;;;;;;
4e;f3e5474e;f2e5474e;f2b5474e;;;;;;;;;;;;
4f;+d79984f;+c79984f;+c29984f;;;;;;;;;;;;
50;26cde950;27cde950;279de950;;;;;;;;;;;;
51;40423a51;41423a51;41123a51;;;;;;;;;;;;
52;59d68b52;58d68b52;58868b52;;59f68b52;;;;;;;;;;
53;732adc53;722adc53;727adc53;;;;;;;;;;;;
54;8cbf2d54;8dbf2d54;8def2d54;;;;;;;;;;;;
55;a6337e55;a7337e55;a7637e55;;;;;;;;;;;;
56;bf87cf56;be87cf56;bed7cf56;;;;;;;;;;;;
57;d91c2057;d81c2057;d84c2057;;;;;;;;;;;;
58;f2907158;f3907158;f3c07158;;;;;;;;;;;;
59;;;;;;;;;;;;;;;
5a;2579135a;2479135a;2429135a;;;;;;;;;;;;
5b;3ecd645b;3fcd645b;3f9d645b;;;;;;;;;;;;
5c;5841b65c;5941b65c;5911b65c;;;;;;;;;;;;
5d;71d6075d;70d6075d;7086075d;;;;;;;;;;;;
5e;8b2a585e;8a2a585e;8a7a585e;;;;;;;;;;;;
5f;a4bea95f;a5bea95f;a5eea95f;;;;;;;;;;;;
60;be32fa60;bf32fa60;bf62fa60;;;;;;;;;;;;
61;d7874b61;d6874b61;d6d74b61;;;;;;;;;;;;
62;f11b9c62;f01b9c62;f04b9c62;;;;;;;;;;;;
63;+a6fed63;+b6fed63;+b3fed63;+acfed63;;;;;;;;;;;
64;23e43e64;22e43e64;22b43e64;;;;;;;;;;;;
65;3d788f65;3c788f65;3c288f65;;;;;;;;;;;;
66;56cce066;57cce066;579ce066;566ce066;;;;;;;;;;;
67;70413167;71413167;71113167;;;;;;;;;;;;
68;89d58268;88d58268;88858268;;;;;;;;;;;;
69;a329d469;a229d469;a279d469;;;;;;;;;;;;
6a;bcbe256a;bdbe256a;bdee256a;;;;;;;;;;;;
6b;d632766b;d732766b;d762766b;;;;;;;;;;;;
6c;ef86c76c;ee86c76c;eed6c76c;;;;;;;;;;;;
6d;+91b186d;+81b186d;+84b186d;;;;;;;;;;;;
6e;226f696e;236f696e;233f696e;;;;;;;;;;;;
6f;3be3ba6f;3ae3ba6f;3ab3ba6f;;;;;;;;;;;;
70;55780b70;54780b70;54280b70;;;;;;;;;;;;
71;6ecc5c71;6fcc5c71;6f9c5c71;;;;;;;;;;;;
72;8840ad72;8940ad72;8910ad72;;;;;;;;;;;;
73;a1d4fe73;a0d4fe73;a084fe73;;;;;;;;;;;;
74;bb294f74;ba294f74;ba794f74;;;;;;;;;;;;
75;d4bda075;d5bda075;d5eda075;;;;d75da075;;;;;;;;
76;ee31f176;ef31f176;ef61f176;;;;;;;;;;;;
77;+7864377;+6864377;+6d64377;;;;;;;;;;;;
78;211a9478;201a9478;204a9478;21ba9478;213a9478;;;;;;;;;;
79;3a6ee579;3b6ee579;3b3ee579;;;;;;;;;;;;
7a;53e3367a;52e3367a;52b3367a;;;;;;;;;;;;
7b;6d77877b;6c77877b;6c27877b;;;;;;;;;;;;
7c;86cbd87c;87cbd87c;879bd87c;;;;;;;;;;;;
7d;a040297d;a140297d;a110297d;;;;;;;;;;;;
7e;b9d47a7e;b8d47a7e;b8847a7e;;;;;;;;;;;;
7f;d328cb7f;d228cb7f;d278cb7f;;;;;;;;;;;;
80;ecbd1c80;edbd1c80;eded1c80;;;;;;;;;;;;
81;+6316d81;+7316d81;+7616d81;;;;;;;;;;;;
82;1f85be82;1e85be82;1ed5be82;;;;;;;;;;;;
83;391a0f83;381a0f83;384a0f83;;;;;;;;;;;;
84;526e6184;536e6184;533e6184;;;;;;;;;;;;
85;6be2b285;6ae2b285;6ab2b285;;;;;;;;;;;;
86;85770386;84770386;84270386;;;;;;;;;;;;
87;9ecb5487;9fcb5487;9f9b5487;;;;;;;;;;;;
88;b85fa588;b95fa588;b90fa588;;;;;;;;;;;;
89;d1d3f689;d0d3f689;d083f689;;;;;;;;;;;;
8a;eb28478a;ea28478a;ea78478a;;;;;;;;;;;;
8b;+4bc988b;+5bc988b;+5ec988b;;;;;;;;;;;;
8c;1e30e98c;1f30e98c;1f60e98c;;;;;;;;;;;;
8d;37853a8d;36853a8d;36d53a8d;;;;;;;;;;;;
8e;51198b8e;50198b8e;50498b8e;51b98b8e;;;;;;;;;;;
8f;6a6ddc8f;6b6ddc8f;6b3ddc8f;;;;;;;;;;;;
90;83e22d90;82e22d90;82b22d90;;;;;;;;;;;;
91;9d767e91;9c767e91;9c267e91;;;;;;;;;;;;
92;b6cad092;b7cad092;b79ad092;;;;;;;;;;;;
93;d05f2193;d15f2193;d10f2193;;;;;;;;;;;;
94;e9d37294;e8d37294;e8837294;;;;;;;;;;;;
95;+327c395;+227c395;+277c395;;;;;;;;;;;;
96;1cbc1496;1dbc1496;1dec1496;;;;;;;;;;;;
97;36306597;37306597;37606597;;;;;;;;;;;;
